Count,correct,Holistic,Analytic,Mixed,AH-H,AH-A,A+M,speech,Aspeech,,
5,0.333333333,0.8056 ,0.1944 ,0.0000 ,0.8056 ,0.1944 ,0.1944 ,270,140 ,,
5,0.666666667,0.6842 ,0.2895 ,0.0263 ,0.7027 ,0.2973 ,0.3158 ,319,170 ,,
5,0.5,0.6857 ,0.3143 ,0.0000 ,0.6857 ,0.3143 ,0.3143 ,255,142 ,,
5,0.666666667,0.8056 ,0.1944 ,0.0000 ,0.8056 ,0.1944 ,0.1944 ,285,141 ,,
5,0.666666667,0.6316 ,0.3421 ,0.0263 ,0.6486 ,0.3514 ,0.3684 ,300,165 ,,
5,1,0.6286 ,0.3429 ,0.0286 ,0.6471 ,0.3529 ,0.3714 ,295,142 ,,
5,0.333333333,0.65,0.2500 ,0.1000 ,0.7222 ,0.2778 ,0.3500 ,314,158 ,,
5,1,0.652173913,0.3333 ,0.0145 ,0.6618 ,0.3382 ,0.3478 ,478,272 ,,
5,0.5,0.738095238,0.2619 ,0.0000 ,0.7381 ,0.2619 ,0.2619 ,265,154 ,,
10,1,0.5641 ,0.3590 ,0.0769 ,0.6111 ,0.3889 ,0.4359 ,460,218 ,,
10,1,0.666666667,0.2444 ,0.0889 ,0.7317 ,0.2683 ,0.3333 ,549,280 ,,
10,0.666666667,0.75,0.2273 ,0.0227 ,0.7674 ,0.2326 ,0.2500 ,503,267 ,,
10,0.666666667,0.552631579,0.3158 ,0.1316 ,0.6364 ,0.3636 ,0.4474 ,460,215 ,,
10,0.166666667,0.666666667,0.2222 ,0.1111 ,0.7500 ,0.2500 ,0.3333 ,549,281 ,,
10,0.333333333,0.75,0.2273 ,0.0227 ,0.7674 ,0.2326 ,0.2500 ,503,263 ,,
10,0.333333333,0.545454545,0.3333 ,0.1212 ,0.6207 ,0.3793 ,0.4545 ,319,145 ,,
10,0.666666667,0.458333333,0.4167 ,0.1250 ,0.5238 ,0.4762 ,0.5417 ,276,135 ,,
10,0.333333333,0.58974359,0.3077 ,0.1026 ,0.6571 ,0.3429 ,0.4103 ,334,199 ,,
15,1,0.333333333,0.4333 ,0.2333 ,0.4348 ,0.5652 ,0.6667 ,378,225 ,,
15,0.666666667,0.538461538,0.1923 ,0.2692 ,0.7368 ,0.2632 ,0.4615 ,331,174 ,,
15,0.666666667,0.571428571,0.3143 ,0.1143 ,0.6452 ,0.3548 ,0.4286 ,426,243 ,,
15,0.5,0.333333333,0.4333 ,0.2333 ,0.4348 ,0.5652 ,0.6667 ,339,225 ,,
15,1,0.538461538,0.1923 ,0.2692 ,0.7368 ,0.2632 ,0.4615 ,297,170 ,,
15,0.666666667,0.571428571,0.3429 ,0.0857 ,0.6250 ,0.3750 ,0.4286 ,350,233 ,,
15,1,0.444444444,0.3056 ,0.2500 ,0.5926 ,0.4074 ,0.5556 ,551,295 ,,
